Nome;Email;CPF;Tarefa;Tipo
corretor11;corretor11@inep.gov.br;;1;1
corretor12;corretor12@inep.gov.br;;1;1
corretor13;corretor13@inep.gov.br;;1;1
corretor14;corretor14@inep.gov.br;;1;1
corretor15;corretor15@inep.gov.br;;1;1
corretor16;corretor16@inep.gov.br;;1;1
corretor17;corretor17@inep.gov.br;;1;1
corretor18;corretor18@inep.gov.br;;1;1
coordenador1;coordenador1@inep.gov.br;;1;3
corretor21;corretor21@inep.gov.br;;2;1
corretor22;corretor22@inep.gov.br;;2;1
corretor23;corretor23@inep.gov.br;;2;1
corretor24;corretor24@inep.gov.br;;2;1
corretor25;corretor25@inep.gov.br;;2;1
corretor26;corretor26@inep.gov.br;;2;1
corretor27;corretor27@inep.gov.br;;2;1
corretor28;corretor28@inep.gov.br;;2;1
coordenador2;coordenador2@inep.gov.br;;2;3
corretor31;corretor31@inep.gov.br;;3;1
corretor32;corretor32@inep.gov.br;;3;1
corretor33;corretor33@inep.gov.br;;3;1
corretor34;corretor34@inep.gov.br;;3;1
corretor35;corretor35@inep.gov.br;;3;1
corretor36;corretor36@inep.gov.br;;3;1
corretor37;corretor37@inep.gov.br;;3;1
corretor38;corretor38@inep.gov.br;;3;1
coordenador3;coordenador3@inep.gov.br;;3;3
corretor41;corretor41@inep.gov.br;;4;1
corretor42;corretor42@inep.gov.br;;4;1
corretor43;corretor43@inep.gov.br;;4;1
corretor44;corretor44@inep.gov.br;;4;1
corretor45;corretor45@inep.gov.br;;4;1
corretor46;corretor46@inep.gov.br;;4;1
corretor47;corretor47@inep.gov.br;;4;1
corretor48;corretor48@inep.gov.br;;4;1
coordenador4;coordenador4@inep.gov.br;;4;3
oral1;oral1@inep.gov.br;;;2
oral2;oral2@inep.gov.br;;;2
oral3;oral3@inep.gov.br;;;2
oral4;oral4@inep.gov.br;;;2
oral5;oral5@inep.gov.br;;;2
oral6;oral6@inep.gov.br;;;2
oral7;oral7@inep.gov.br;;;2
oral8;oral8@inep.gov.br;;;2
oral9;oral1@inep.gov.br;;;4
